"cps19_votechoice","cps19_citizenship","cps19_age","cps19_gender","cps19_education","cps19_employment","cps19_income_number","cps19_marital","cps19_province"
"Conservative Party","Canadian citizen",47,"A man","Bachelor's degree","Working for pay full-time",65000,"Never Married","Ontario"
"ndp","Canadian citizen",68,"A woman","Bachelor's degree","Retired",55000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",30,"A man","Bachelor's degree","Working for pay full-time",64000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",59,"A man","Completed secondary/ high school","Retired",1e+05,"Living with a partner","Quebec"
"Green Party","Canadian citizen",61,"A woman","Bachelor's degree","Self employed (with or without employees)",20000,"Divorced","British Columbia"
"ndp","Canadian citizen",31,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",118000,"Married","Quebec"
"Liberal Party","Canadian citizen",65,"A woman","Some technical, community college, CEGEP, College Classique","Retired",20000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",47,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",75000,"Never Married","Alberta"
"ndp","Canadian citizen",69,"A woman","Bachelor's degree","Retired",45000,"Widowed","Ontario"
"Conservative Party","Canadian citizen",64,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",90000,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",76,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",17500,"Never Married","Quebec"
"Conservative Party","Canadian citizen",55,"A man","Bachelor's degree","Working for pay full-time",36500,"Married","Quebec"
"Conservative Party","Canadian citizen",63,"A man","Bachelor's degree","Working for pay full-time",130000,"Widowed","Saskatchewan"
"Green Party","Canadian citizen",57,"A man","Completed technical, community college, CEGEP, College Classique","Retired",74000,"Married","Prince Edward Island"
"Conservative Party","Canadian citizen",68,"A man","Some technical, community college, CEGEP, College Classique","Retired",91000,"Married","British Columbia"
"Conservative Party","Canadian citizen",67,"A man","Bachelor's degree","Retired",103000,"Never Married","Alberta"
"Conservative Party","Canadian citizen",59,"A man","Master's degree","Self employed (with or without employees)",1e+05,"Married","Quebec"
"Liberal Party","Canadian citizen",28,"A man","Bachelor's degree","Working for pay full-time",101000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",63,"A man","Some university","Retired",49000,"Married","Ontario"
"Conservative Party","Canadian citizen",61,"A man","Bachelor's degree","Retired",29000,"Widowed","Alberta"
"Conservative Party","Canadian citizen",29,"A woman","Bachelor's degree","Working for pay part-time",56000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",69,"A woman","Some secondary/ high school","Retired",75000,"Married","Ontario"
"Liberal Party","Canadian citizen",49,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",63500,"Never Married","Quebec"
"Conservative Party","Canadian citizen",62,"A woman","Completed secondary/ high school","Retired",49000,"Married","Ontario"
"Liberal Party","Canadian citizen",54,"A woman","Bachelor's degree","Working for pay full-time",55000,"Divorced","Ontario"
"Green Party","Canadian citizen",55,"A woman","Completed secondary/ high school","Disabled",29000,"Married","Quebec"
"Green Party","Canadian citizen",58,"A woman","Some secondary/ high school","Working for pay full-time",54000,"Divorced","Ontario"
"Liberal Party","Canadian citizen",41,"A woman","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",25000,"Married","Manitoba"
"Bloc Québécois","Canadian citizen",54,"A man","Master's degree","Working for pay full-time",83000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",34,"A woman","Bachelor's degree","Working for pay full-time",165000,"Never Married","Alberta"
"Conservative Party","Canadian citizen",66,"A woman","Some technical, community college, CEGEP, College Classique","Retired",125000,"Married","British Columbia"
"Liberal Party","Canadian citizen",48,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",48000,"Married","Quebec"
"Liberal Party","Canadian citizen",68,"A man","Master's degree","Retired",94000,"Married","British Columbia"
"Liberal Party","Canadian citizen",68,"A man","Some university","Working for pay part-time",32000,"Married","Nova Scotia"
"Liberal Party","Canadian citizen",65,"A woman","Completed secondary/ high school","Retired",60000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",28,"A woman","Bachelor's degree","Working for pay full-time",84000,"Living with a partner","Quebec"
"Green Party","Canadian citizen",69,"A man","Some technical, community college, CEGEP, College Classique","Retired",42000,"Married","Ontario"
"Liberal Party","Canadian citizen",35,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",38799,"Married","Ontario"
"Liberal Party","Canadian citizen",34,"A man","Bachelor's degree","Working for pay full-time",49000,"Living with a partner","New Brunswick"
"Conservative Party","Canadian citizen",28,"A woman","Bachelor's degree","Working for pay full-time",120000,"Married","Ontario"
"Liberal Party","Canadian citizen",68,"A woman","Completed secondary/ high school","Retired",20000,"Widowed","Quebec"
"Green Party","Canadian citizen",50,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",45000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",61,"A man","Some university","Working for pay part-time",39000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",74,"A man","Some university","Retired",73000,"Married","Ontario"
"Conservative Party","Canadian citizen",54,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",65000,"Married","Manitoba"
"Liberal Party","Canadian citizen",40,"A man","Professional degree or doctorate","Working for pay full-time",230000,"Married","Manitoba"
"Liberal Party","Canadian citizen",54,"A woman","Master's degree","Working for pay full-time",190000,"Married","British Columbia"
"Another party (please specify)","Canadian citizen",46,"A woman","Some technical, community college, CEGEP, College Classique","Disabled",13000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",59,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",24100,"Divorced","Quebec"
"Conservative Party","Canadian citizen",51,"A man","Bachelor's degree","Working for pay full-time",81000,"Married","Ontario"
"ndp","Canadian citizen",72,"A man","Completed secondary/ high school","Retired",61000,"Married","Ontario"
"Conservative Party","Canadian citizen",56,"A woman","Some technical, community college, CEGEP, College Classique","Disabled",24000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",60,"A woman","Professional degree or doctorate","Working for pay full-time",280000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",81,"A man","Master's degree","Retired",95000,"Married","Ontario"
"ndp","Canadian citizen",63,"A man","Master's degree","Retired",105000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",63,"A man","Some university","Working for pay full-time",76000,"Married","Ontario"
"Conservative Party","Canadian citizen",65,"A man","Completed technical, community college, CEGEP, College Classique","Retired",110000,"Married","Ontario"
"Conservative Party","Canadian citizen",72,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",49000,"Married","Quebec"
"Conservative Party","Canadian citizen",37,"A man","Bachelor's degree","Working for pay full-time",78500,"Married","Ontario"
"Green Party","Canadian citizen",52,"A man","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",149500,"Separated","Nova Scotia"
"Liberal Party","Canadian citizen",49,"A woman","Bachelor's degree","Working for pay full-time",55000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",81,"A man","Some university","Retired",42000,"Married","Ontario"
"Liberal Party","Canadian citizen",73,"A man","Some university","Retired",160000,"Married","Ontario"
"Conservative Party","Canadian citizen",53,"A woman","Bachelor's degree","Working for pay full-time",95000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",80,"A man","Completed technical, community college, CEGEP, College Classique","Retired",250000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",25,"A man","Bachelor's degree","Working for pay full-time",52000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",36,"A man","Bachelor's degree","Working for pay full-time",55000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",60,"A woman","Completed secondary/ high school","Retired",80000,"Married","Ontario"
"Another party (please specify)","Canadian citizen",69,"A man","Master's degree","Retired",19750,"Divorced","Ontario"
"Conservative Party","Canadian citizen",58,"A woman","Bachelor's degree","Working for pay full-time",65000,"Married","Ontario"
"Green Party","Canadian citizen",49,"A woman","Bachelor's degree","Disabled",49000,"Married","Ontario"
"Liberal Party","Canadian citizen",63,"A man","Bachelor's degree","Retired",50000,"Married","Quebec"
"Liberal Party","Canadian citizen",19,"A woman","Completed secondary/ high school","Working for pay part-time",35600,"Never Married","Ontario"
"Green Party","Canadian citizen",26,"A woman","Bachelor's degree","Working for pay full-time",54000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",64,"A man","Some technical, community college, CEGEP, College Classique","Retired",63000,"Married","Quebec"
"Conservative Party","Canadian citizen",62,"A man","Bachelor's degree","Working for pay full-time",124000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",65,"A woman","Some technical, community college, CEGEP, College Classique","Retired",39000,"Married","Quebec"
"Liberal Party","Canadian citizen",66,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",41000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",60,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",98000,"Never Married","Ontario"
"ndp","Canadian citizen",58,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",59000,"Never Married","Nova Scotia"
"Conservative Party","Canadian citizen",55,"A man","Bachelor's degree","Working for pay full-time",190000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",74,"A man","Completed technical, community college, CEGEP, College Classique","Retired",70000,"Married","Ontario"
"Conservative Party","Canadian citizen",73,"A man","Professional degree or doctorate","Retired",34000,"Married","Ontario"
"Liberal Party","Canadian citizen",42,"A woman","Completed elementary school","Caring for family and working for pay",20000,"Married","Quebec"
"Liberal Party","Canadian citizen",36,"A man","Completed secondary/ high school","Self employed (with or without employees)",65000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",50,"A woman","Bachelor's degree","Working for pay full-time",85900,"Married","Ontario"
"Green Party","Canadian citizen",55,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",90000,"Living with a partner","Ontario"
"ndp","Canadian citizen",71,"A woman","Professional degree or doctorate","Retired",36000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",42,"A man","Bachelor's degree","Working for pay full-time",175000,"Married","Ontario"
"Conservative Party","Canadian citizen",32,"A man","Bachelor's degree","Working for pay full-time",67000,"Never Married","Alberta"
"Green Party","Canadian citizen",77,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",74000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",57,"A man","Bachelor's degree","Working for pay full-time",125000,"Married","Quebec"
"Liberal Party","Canadian citizen",56,"A man","Bachelor's degree","Self employed (with or without employees)",2e+05,"Married","Ontario"
"Liberal Party","Canadian citizen",60,"A man","Bachelor's degree","Retired and working for pay",145000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",64,"A man","Bachelor's degree","Working for pay part-time",16000,"Married","Newfoundland and Labrador"
"Green Party","Canadian citizen",23,"A woman","Completed secondary/ high school","Student",2,"Never Married","Quebec"
"Liberal Party","Canadian citizen",28,"A man","Master's degree","Working for pay full-time",75000,"Married","Ontario"
"Liberal Party","Canadian citizen",72,"A man","Bachelor's degree","Retired",85000,"Married","Ontario"
"Conservative Party","Canadian citizen",40,"A woman","Master's degree","Working for pay full-time",99000,"Married","Ontario"
"Liberal Party","Canadian citizen",78,"A woman","Master's degree","Retired",69000,"Married","Ontario"
"Green Party","Canadian citizen",29,"A man","Some university","Student",19000,"Married","Quebec"
"Conservative Party","Canadian citizen",59,"A man","Completed secondary/ high school","Retired",40000,"Married","Quebec"
"Conservative Party","Canadian citizen",39,"A man","Bachelor's degree","Working for pay full-time",95000,"Married","Ontario"
"Conservative Party","Canadian citizen",47,"A woman","Some university","Retired",19000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",68,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed secondary/ high school","Working for pay part-time",49000,"Married","New Brunswick"
"ndp","Canadian citizen",70,"A man","Completed technical, community college, CEGEP, College Classique","Retired",20000,"Separated","Ontario"
"Conservative Party","Canadian citizen",43,"A man","Completed secondary/ high school","Working for pay full-time",50000,"Never Married","Ontario"
"ndp","Canadian citizen",41,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",30000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",68,"A woman","Completed secondary/ high school","Retired",250000,"Married","Ontario"
"Liberal Party","Canadian citizen",33,"A woman","Some technical, community college, CEGEP, College Classique","Retired",19000,"Never Married","Ontario"
"ndp","Canadian citizen",35,"A man","Completed secondary/ high school","Working for pay full-time",99546,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",79,"A man","Completed technical, community college, CEGEP, College Classique","Retired",35000,"Married","New Brunswick"
"Liberal Party","Canadian citizen",47,"A man","Professional degree or doctorate","Working for pay full-time",125000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",74,"A woman","Completed secondary/ high school","Retired",35000,"Married","Quebec"
"Conservative Party","Canadian citizen",46,"A man","Bachelor's degree","Working for pay full-time",89000,"Married","Ontario"
"Liberal Party","Canadian citizen",36,"A man","Some secondary/ high school","Working for pay full-time",30000,"Living with a partner","Alberta"
"Liberal Party","Canadian citizen",30,"A woman","Professional degree or doctorate","Working for pay full-time",69000,"Married","Ontario"
"Liberal Party","Canadian citizen",52,"A woman","Master's degree","Working for pay full-time",1e+05,"Married","Ontario"
"Conservative Party","Canadian citizen",74,"A woman","Completed secondary/ high school","Retired",50000,"Married","Ontario"
"Liberal Party","Canadian citizen",71,"A man","Bachelor's degree","Retired",74000,"Married","Ontario"
"Conservative Party","Canadian citizen",65,"A man","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",39000,"Never Married","Nova Scotia"
"Liberal Party","Canadian citizen",86,"A woman","Bachelor's degree","Retired",50000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",73,"A man","Bachelor's degree","Retired",85000,"Married","Ontario"
"Conservative Party","Canadian citizen",72,"A woman","Completed secondary/ high school","Retired",20000,"Widowed","Ontario"
"Green Party","Canadian citizen",54,"A man","Bachelor's degree","Working for pay part-time",58000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",61,"A man","Master's degree","Retired",124000,"Married","Prince Edward Island"
"People's Party","Canadian citizen",44,"A man","Master's degree","Working for pay full-time",71000,"Married","Ontario"
"Conservative Party","Canadian citizen",57,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",150000,"Married","Ontario"
"Liberal Party","Canadian citizen",31,"A man","Some technical, community college, CEGEP, College Classique","Self employed (with or without employees)",5000,"Never Married","Newfoundland and Labrador"
"ndp","Canadian citizen",59,"A man","Bachelor's degree","Self employed (with or without employees)",40000,"Married","Ontario"
"Liberal Party","Canadian citizen",63,"A woman","Bachelor's degree","Working for pay part-time",152000,"Married","Ontario"
"Green Party","Canadian citizen",61,"A man","Some technical, community college, CEGEP, College Classique","Disabled",85000,"Married","Ontario"
"Liberal Party","Canadian citizen",72,"A man","Some technical, community college, CEGEP, College Classique","Retired",51000,"Married","Ontario"
"Conservative Party","Canadian citizen",53,"A man","Completed secondary/ high school","Working for pay full-time",95000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",23,"A man","Bachelor's degree","Working for pay part-time",40000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",59,"A man","Bachelor's degree","Self employed (with or without employees)",112000,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",69,"A woman","Some university","Retired",50000,"Living with a partner","Quebec"
"Green Party","Canadian citizen",83,"A woman","Some university","Retired",55000,"Widowed","Ontario"
"Liberal Party","Canadian citizen",57,"A woman","Bachelor's degree","Retired",150000,"Married","Quebec"
"Conservative Party","Canadian citizen",52,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",62000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",79,"A man","Completed secondary/ high school","Retired",52000,"Widowed","Nova Scotia"
"Liberal Party","Canadian citizen",99,"A woman","Professional degree or doctorate","Working for pay full-time",40000,"Separated","Ontario"
"Conservative Party","Canadian citizen",65,"A man","Some technical, community college, CEGEP, College Classique","Retired",15000,"Never Married","Quebec"
"Green Party","Canadian citizen",72,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",49000,"Married","Ontario"
"Conservative Party","Canadian citizen",35,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",15000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",67,"A man","Bachelor's degree","Retired",64000,"Married","Ontario"
"Conservative Party","Canadian citizen",56,"A woman","Bachelor's degree","Working for pay part-time",45000,"Divorced","Ontario"
"Green Party","Canadian citizen",20,"A man","Some secondary/ high school","Unemployed/ looking for work",16000,"Never Married","Alberta"
"Liberal Party","Canadian citizen",63,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",65000,"Divorced","Ontario"
"Green Party","Canadian citizen",58,"A woman","Bachelor's degree","Retired and working for pay",110000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",59,"A woman","Some university","Disabled",31000,"Married","Quebec"
"Liberal Party","Canadian citizen",56,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",52000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",61,"A woman","Bachelor's degree","Working for pay full-time",170000,"Married","Ontario"
"Liberal Party","Canadian citizen",68,"A woman","Completed secondary/ high school","Retired",59000,"Married","Ontario"
"People's Party","Canadian citizen",62,"A man","Completed technical, community college, CEGEP, College Classique","Retired",38500,"Married","Quebec"
"Conservative Party","Canadian citizen",39,"A man","Completed technical, community college, CEGEP, College Classique","Disabled",15000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",38,"A woman","Completed secondary/ high school","Disabled",29000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",45,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",120000,"Married","Quebec"
"Liberal Party","Canadian citizen",71,"A man","Some technical, community college, CEGEP, College Classique","Retired",21000,"Divorced","Newfoundland and Labrador"
"Green Party","Canadian citizen",45,"A man","Master's degree","Working for pay full-time",1e+05,"Married","Quebec"
"Green Party","Canadian citizen",70,"A woman","Master's degree","Retired",25000,"Divorced","Quebec"
"Green Party","Canadian citizen",49,"A man","Some university","Working for pay full-time",44000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",54,"A woman","Bachelor's degree","Unemployed/ looking for work",1e+05,"Married","Ontario"
"Conservative Party","Canadian citizen",51,"A woman","Completed secondary/ high school","Retired",60000,"Married","Quebec"
"Liberal Party","Canadian citizen",61,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",160000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",56,"A man","Bachelor's degree","Working for pay full-time",240000,"Living with a partner","Ontario"
"Another party (please specify)","Canadian citizen",56,"A woman","Some university","Self employed (with or without employees)",125000,"Married","Ontario"
"Liberal Party","Canadian citizen",64,"A man","Completed technical, community college, CEGEP, College Classique","Retired",77000,"Married","Ontario"
"Liberal Party","Canadian citizen",44,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",40000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",52,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",80000,"Married","British Columbia"
"ndp","Canadian citizen",65,"A man","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",95500,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",48,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)","Completed technical, community college, CEGEP, College Classique","Retired",70000,"Married","Ontario"
"Conservative Party","Canadian citizen",57,"A man","Completed technical, community college, CEGEP, College Classique","Retired",65000,"Married","Quebec"
"ndp","Canadian citizen",47,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay part-time",50000,"Married","Ontario"
"Conservative Party","Canadian citizen",82,"A woman","Completed secondary/ high school","Retired",26000,"Widowed","Ontario"
"ndp","Canadian citizen",54,"A woman","Bachelor's degree","Working for pay full-time",185000,"Married","Ontario"
"Liberal Party","Canadian citizen",50,"A woman","Master's degree","Working for pay full-time",160000,"Married","Newfoundland and Labrador"
"ndp","Canadian citizen",70,"A woman","Some technical, community college, CEGEP, College Classique","Retired",18000,"Separated","Ontario"
"Liberal Party","Canadian citizen",58,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",55000,"Never Married","Quebec"
"Green Party","Canadian citizen",60,"A man","Master's degree","Self employed (with or without employees)",155000,"Married","Ontario"
"Liberal Party","Canadian citizen",25,"A man","Master's degree","Working for pay full-time",76777,"Married","Nova Scotia"
"Green Party","Canadian citizen",72,"A man","Bachelor's degree","Retired and working for pay",1e+05,"Married","Quebec"
"Conservative Party","Canadian citizen",39,"A man","Some university","Working for pay full-time",150000,"Married","Quebec"
"Liberal Party","Canadian citizen",56,"A woman","Master's degree","Working for pay full-time",57000,"Married","Ontario"
"Green Party","Canadian citizen",36,"A woman","Bachelor's degree","Self employed (with or without employees)",30000,"Married","Ontario"
"Green Party","Canadian citizen",49,"A woman","Completed secondary/ high school","Self employed (with or without employees)",21000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",52,"A man","Professional degree or doctorate","Working for pay full-time",142000,"Married","Quebec"
"Green Party","Canadian citizen",59,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",50000,"Divorced","Ontario"
"Conservative Party","Canadian citizen",31,"A man","Bachelor's degree","Self employed (with or without employees)",57000,"Never Married","Manitoba"
"Conservative Party","Canadian citizen",49,"A man","Master's degree","Working for pay full-time",250000,"Married","Ontario"
"Liberal Party","Canadian citizen",48,"A woman","Bachelor's degree","Working for pay part-time",1e+05,"Married","Ontario"
"ndp","Canadian citizen",29,"A man","Completed elementary school","Working for pay full-time",120000,"Never Married","Ontario"
"Green Party","Canadian citizen",32,"A man","Master's degree","Working for pay full-time",90200,"Never Married","Ontario"
"Liberal Party","Canadian citizen",19,"A woman","Completed secondary/ high school","Student",40000,"Never Married","Ontario"
"Bloc Québécois","Canadian citizen",61,"A man","Bachelor's degree","Retired",81000,"Married","Quebec"
"Conservative Party","Canadian citizen",62,"A woman","Some university","Retired",75000,"Married","Ontario"
"ndp","Canadian citizen",34,"A woman","Completed secondary/ high school","Working for pay full-time",59000,"Living with a partner","British Columbia"
"Liberal Party","Canadian citizen",34,"A man","Some technical, community college, CEGEP, College Classique","Disabled",36000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",48,"A man","Bachelor's degree","Working for pay part-time",81000,"Married","Ontario"
"ndp","Canadian citizen",64,"A man","Some technical, community college, CEGEP, College Classique","Retired",7999,"Married","Ontario"
"Liberal Party","Canadian citizen",32,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",70000,"Never Married","Alberta"
"Conservative Party","Canadian citizen",64,"A man","Completed secondary/ high school","Disabled",17000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",75,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",55000,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",68,"A woman","Some university","Retired",80000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",47,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",62000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",31,"A woman","Some university","Working for pay full-time",60000,"Married","Ontario"
"Liberal Party","Canadian citizen",69,"A man","Bachelor's degree","Working for pay full-time",120000,"Married","Nova Scotia"
"Conservative Party","Canadian citizen",45,"A woman","Professional degree or doctorate","Working for pay full-time",232000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",81,"A man","Some technical, community college, CEGEP, College Classique","Retired",80000,"Married","Ontario"
"Conservative Party","Canadian citizen",68,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",32000,"Divorced","Newfoundland and Labrador"
"Conservative Party","Canadian citizen",64,"A man","Completed secondary/ high school","Working for pay part-time",33000,"Married","Ontario"
"ndp","Canadian citizen",54,"A woman","Bachelor's degree","Working for pay part-time",45000,"Living with a partner","Ontario"
"ndp","Canadian citizen",34,"A man","Master's degree","Working for pay full-time",123000,"Married","Ontario"
"Liberal Party","Canadian citizen",70,"A woman","Bachelor's degree","Retired",1e+05,"Married","Ontario"
"Conservative Party","Canadian citizen",35,"A man","Completed secondary/ high school","Working for pay full-time",72000,"Living with a partner","Ontario"
"Liberal Party","Canadian citizen",71,"A man","Completed technical, community college, CEGEP, College Classique","Retired",60000,"Married","Ontario"
